DATE,OPEN,MAX,MIN,CLOSE,CLASS,2,42,45,48,68,75,88,139,171,172,179,187,218,221,223,231,237,date.year,date.month,date.day-of-month,date.day-of-week
11/9/16,212.37,217.1,212.34,216.38,1,2.55,0.09,2.3489,1.3095,0.88,18.51,2.45,0.85,-0.18,B,1.12,19.81,22.2933,17.64,0.0998,184748981596,2.4106,16,11,9,3
11/10/16,217.3,218.31,215.22,216.92,1,2.51,0.09,2.423,1.305,0.88,18.88,2.51,0.86,-0.19,B,1.11,19.81,25.7267,17.38,-0.129,185963379453,3.0714,16,11,10,4
11/11/16,216.08,216.7,215.32,216.42,1,2.47,0.09,2.3407,1.3034,0.86,18.83,2.23,0.86,-0.19,B,1.11,19.81,29.1968,16.95,0.4439,186249185110,2.9599,16,11,11,5
11/14/16,217.03,217.27,215.72,216.59,1,2.43,0.09,2.2616,1.305,0.87,18.93,2.51,0.84,-0.19,B,1.12,19.81,32.2132,16.45,0.7131,188029790788,4.2319,16,11,14,1
11/15/16,217.04,218.28,216.8,218.28,1,2.4,0.09,2.2045,1.3088,0.85,18.93,3.38,0.81,-0.19,B,1.21,19.81,39.2495,15.56,2.9188,189922502606,5.7357,16,11,15,2
11/16/16,217.56,218.14,217.42,217.87,1,2.37,0.09,2.07,1.3123,0.85,19.28,2.99,0.89,-0.2,B,1.19,19.81,45.0188,14.82,2.8465,188985311120,3.6551,16,11,16,3
11/17/16,218.05,219.06,217.92,218.99,1,2.34,0.1,1.982,1.3176,0.85,19.03,3.32,0.88,-0.2,B,1.14,19.81,49.8666,14.25,2.7835,189594057417,3.8926,16,11,17,4
11/18/16,219.07,219.27,218.29,218.5,1,2.31,0.1,1.8818,1.3257,0.83,19.07,3.6,0.87,-0.2,B,1.19,19.81,52.92,13.57,2.2149,189214928754,2.7345,16,11,18,5
11/21/16,219.17,220.18,219.0,220.15,1,2.29,0.1,1.8616,1.3355,0.81,18.89,3.81,0.86,-0.2,B,0.76,19.81,60.5181,13.98,4.3915,191231723597,5.0934,16,11,21,1
11/22/16,220.51,220.79,219.73,220.58,1,2.28,0.1,1.7815,1.3479,0.81,18.93,3.93,0.86,-0.21,B,0.75,19.81,70.3886,15.04,5.7971,192092763291,5.3551,16,11,22,2
11/23/16,219.98,220.76,219.75,220.7,1,2.26,0.1,1.7043,1.3642,0.81,18.98,3.62,0.86,-0.21,B,0.63,19.81,77.7914,16.05,5.0567,192868515821,5.6093,16,11,23,3
11/25/16,221.1,221.56,221.01,221.52,1,2.25,0.1,1.6199,1.3831,0.8,18.93,3.64,0.85,-0.21,B,0.63,19.81,83.3436,17.43,5.7338,193255305799,5.8884,16,11,25,5
11/28/16,221.16,221.48,220.36,220.48,1,2.25,0.1,1.5739,1.4041,0.82,19.03,3.62,0.86,-0.21,B,0.69,19.81,84.5113,17.79,3.3409,191972381478,3.0032,16,11,28,1
11/29/16,220.52,221.44,220.17,220.91,1,2.25,0.1,1.5435,1.4275,0.81,19.03,3.91,0.85,-0.21,B,0.71,19.81,85.1262,18.04,2.6887,191302978591,1.4596,16,11,29,2
11/30/16,221.63,221.82,220.31,220.38,1,2.24,0.1,1.5402,1.4475,0.83,19.03,3.62,0.86,-0.21,B,0.65,19.81,83.5777,17.68,1.2159,192079099787,1.7604,16,11,30,3
12/1/16,220.73,220.73,219.15,219.57,1,2.25,0.1,1.5441,1.4624,0.84,19.18,3.58,0.87,-0.21,B,0.69,19.81,80.1558,16.73,-0.1787,192044711597,1.26,16,12,1,4
12/2/16,219.67,220.25,219.26,219.68,1,2.25,0.1,1.4887,1.4726,0.84,19.28,3.27,0.87,-0.21,I,0.64,19.81,78.5402,16.08,0.2856,192363933993,1.2842,16,12,2,5
12/5/16,220.65,221.4,220.42,221.0,1,2.25,0.1,1.5119,1.4775,0.77,18.83,3.95,0.83,-0.21,B,0.68,19.81,81.3348,16.35,2.2709,194413220558,3.5286,16,12,5,1
12/6/16,221.22,221.74,220.66,221.7,1,2.26,0.1,1.4687,1.4762,0.76,18.68,4.28,0.82,-0.22,B,0.58,19.81,86.0011,17.3,3.903,196078898045,5.0058,16,12,6,2
12/7/16,221.52,224.67,221.38,224.6,1,2.27,0.1,1.6508,1.4714,0.79,18.74,4.27,0.83,-0.23,B,0.86,19.81,89.5008,18.89,5.8034,198512030368,6.7367,16,12,7,3
12/8/16,224.57,225.7,224.26,225.15,1,2.28,0.1,1.6297,1.4633,0.8,18.78,4.26,0.83,-0.23,B,0.86,19.81,92.1256,20.66,6.0145,199714294998,6.8972,16,12,8,4
12/9/16,225.41,226.53,225.37,226.51,1,2.3,0.1,1.6048,1.4524,0.77,18.63,4.59,0.82,-0.24,B,0.88,19.81,93.9943,22.26,4.9463,200303202087,6.3267,16,12,9,5
12/12/16,226.4,226.96,225.76,226.25,1,2.32,0.11,1.5643,1.4394,0.8,18.83,4.54,0.83,-0.24,B,0.81,19.68,92.7682,22.93,2.7144,199306509774,3.8006,16,12,12,1
